iter	Passed	Remaining
0	143	143411
1	144	72007
2	145	48214
3	145	36305
4	146	29164
5	147	24402
6	148	21010
7	148	18457
8	149	16471
9	150	14878
10	151	13577
11	151	12499
12	152	11586
13	153	10811
14	154	10149
15	155	9558
16	156	9044
17	157	8578
18	157	8157
19	158	7774
20	159	7429
21	160	7113
22	160	6825
23	161	6562
24	161	6317
25	162	6090
26	163	5882
27	163	5686
28	164	5504
29	164	5334
30	165	5177
31	166	5034
32	167	4901
33	168	4773
34	168	4650
35	169	4538
36	170	4430
37	170	4325
38	171	4226
39	172	4131
40	172	4042
41	173	3957
42	174	3875
43	174	3797
44	175	3722
45	176	3651
46	176	3582
47	177	3516
48	178	3455
49	178	3396
50	179	3344
51	180	3296
52	181	3244
53	182	3192
54	182	3144
55	184	3105
56	184	3059
57	185	3014
58	186	2970
59	186	2927
60	187	2887
61	188	2848
62	188	2809
63	189	2771
64	190	2735
65	190	2699
66	191	2666
67	191	2628
68	192	2604
69	193	2576
70	194	2547
71	195	2518
72	196	2489
73	196	2464
74	197	2439
75	198	2412
76	199	2386
77	199	2360
78	200	2336
79	201	2312
80	201	2290
81	202	2267
82	203	2245
83	203	2223
84	204	2200
85	205	2180
86	205	2158
87	206	2141
88	207	2124
89	208	2105
90	208	2086
91	209	2068
92	210	2050
93	210	2033
94	211	2017
95	212	2000
96	213	1983
97	213	1967
98	214	1951
99	215	1936
100	215	1921
101	216	1904
102	217	1890
103	217	1877
104	218	1863
105	219	1849
106	220	1836
107	220	1823
108	221	1810
109	222	1798
110	222	1785
111	223	1773
112	224	1761
113	225	1749
114	225	1737
115	226	1725
116	227	1714
117	227	1703
118	228	1691
119	229	1680
120	229	1670
121	230	1660
122	231	1648
123	231	1638
124	232	1628
125	233	1618
126	234	1609
127	234	1598
128	235	1591
129	236	1584
130	237	1575
131	238	1566
132	238	1557
133	239	1548
134	240	1539
135	240	1530
136	241	1521
137	242	1512
138	242	1504
139	243	1496
140	244	1487
141	244	1479
142	245	1471
143	246	1463
144	246	1456
145	247	1449
146	248	1444
147	249	1436
148	250	1429
149	250	1421
150	251	1415
151	252	1410
152	253	1404
153	254	1398
154	256	1397
155	257	1391
156	257	1384
157	258	1377
158	259	1371
159	259	1364
160	260	1358
161	262	1355
162	262	1350
163	263	1344
164	264	1337
165	265	1331
166	265	1325
167	266	1319
168	267	1313
169	267	1307
170	268	1302
171	269	1296
172	270	1291
173	270	1285
174	271	1280
175	272	1274
176	272	1269
177	273	1263
178	274	1258
179	275	1254
180	275	1248
181	276	1244
182	277	1238
183	278	1233
184	278	1228
185	279	1223
186	280	1218
187	281	1213
188	281	1208
189	282	1203
190	282	1198
191	283	1193
192	284	1188
193	285	1184
194	285	1179
195	286	1174
196	286	1169
197	287	1164
198	288	1160
199	289	1156
200	290	1153
201	290	1149
202	291	1144
203	292	1140
204	292	1135
205	293	1131
206	294	1127
207	297	1132
208	298	1128
209	298	1124
210	299	1120
211	300	1116
212	300	1111
213	301	1108
214	302	1105
215	310	1125
216	310	1121
217	311	1117
218	312	1113
219	312	1109
220	313	1105
221	314	1100
222	314	1096
223	315	1092
224	316	1088
225	316	1084
226	317	1081
227	318	1078
228	319	1074
229	319	1071
230	320	1067
231	321	1063
232	322	1060
233	322	1056
234	323	1052
235	324	1048
236	324	1045
237	325	1042
238	326	1038
239	326	1034
240	327	1031
241	328	1027
242	328	1024
243	329	1020
244	330	1017
245	331	1015
246	331	1012
247	332	1008
248	333	1005
249	334	1002
250	334	998
251	335	995
252	335	992
253	336	988
254	337	985
255	337	982
256	338	979
257	339	975
258	339	972
259	340	969
260	341	966
261	341	962
262	342	959
263	343	956
264	343	953
265	344	951
266	346	949
267	346	947
268	347	943
269	348	941
270	348	938
271	349	935
272	350	932
273	350	929
274	351	926
